header,subHeader,content
Prep For IELTS ,1,"['giải_pháp', 'học', 'ielts', 'trọn_gói', 'tính', '26k', 'ngày', '10', 'điểm', 'cụ', 'câu', 'đồng_tiền', 'đi', 'đồng_tiền', 'khôn', 'mình', 'đồng_tiền', 'đặt', 'đúng', 'chỗ', 'mới', 'đồng_tiền', 'khôn', 'mình', 'chấp_nhận', 'bỏ', '20', '30', 'hay', 'thậm_chí', '100', 'triệu', 'tấm', 'bằng', 'ielts', '70', 'thực_sự', 'trả_giá', 'đắt', 'thế', 'mình', 'còn', 'lựa_chọn', 'khác', 'hợp_lý', 'hơn', 'tính', 'trung_bình', '26kngày', '26k', 'ngày', 'đều_đặn', 'trong', '1', 'năm', 'mình', 'học', 'sâu', 'luyện', 'chắc', 'chữa', 'cẩn_thận', 'nâng', 'band', 'thần_tốc', 'duy_nhất', '1', 'nền_tảng', 'học', 'toàn_diện', 'lộ_trình', 'học', 'tinh_gọn', 'gồm', '4', 'chặng', 'mất_gốc', 'đến', 'chuyên_sâu', 'cung_cấp', 'kiến_thức', 'đúng', 'đủ', 'hề', 'lan_man', 'hệ_thống', 'bài_tập', 'bài', 'thực_hành', 'bài', 'kiểm_tra', 'đủ', 'đầy', 'tạo', 'bằng', 'cách', 'áp_dụng', 'phương_pháp', 'scaffolding', 'dựng', 'giàn_giáo', 'bẻ', 'nhỏ', 'kiến_thức', 'thành', 'bài_tập', 'ứng_dụng', 'bắt_buộc', 'bạn', 'thực_sự', 'nhớ', 'hiểu', 'vận_dụng', 'chắc', 'tất_cả', 'bước', 'hoàn_thiện', '1', 'dạng', 'bài', 'trong', 'đề', 'thi', 'ielts', 'chính_xác', 'môi_trường', 'luyện', 'speaking', 'writing', 'tốt', 'nhất', 'việt', 'nam', 'phòng', 'speaking', 'writing', 'ảo', 'ứng_dụng', 'công_nghệ', 'ai', 'độc_quyền', 'chính', 'đội_ngũ', 'prep', 'phát_triển', 'đến', '80', 'đảm_bảo', 'chất_lượng', 'tốt', 'nhất', 'hiện_nay', 'thầy', 'cô_đồng_hành', 'chấm', 'chữa', 'bạn', '2', 'kỹ_năng', 'khó', 'speaking', 'writing', 'sát', '4', 'tiêu_chí', 'chấm', 'lớn', 'ielts', '11', 'tiêu_chí', 'chấm', 'phụ', 'prep', 'mới', 'bạn', 'nhìn_nhận', 'lỗi', 'sai', 'cụ_thể', 'định_hướng', 'ôn_tập', '1', 'click', 'đăng_ký', 'học', 'lộ_trình', 'chuẩn', 'prep', 'thôi', 'bạn', 'tiến_bộ', 'nhanh', '1', 'năm', 'đủ', 'đạt', 'aim', '65', 'số', '0', 'chi_phí', 'hợp', 'túi_tiền', 'thế', 'prep', 'còn', 'ưu_đãi', 'giảm_giá', '30', 'đăng_ký', '2', 'khóa', 'ielts', 'trở', 'nhận', '60', 'ngày', 'miễn_phí', 'dùng', 'phòng', 'ảo', 'nhanh', 'tay', 'inbox', 'prep', 'kịp_thời', 'nhận', 'tư_vấn', 'lộ_trình', 'đăng_ký', 'học', 'nhé']"
"Lập Trình C,C++,C#,Java, Python,PHP...",0,"['giờ', 'mới', 'biết', 'luôn', 'á', 'nguồn', 'mạng']"
"Nguyễn Ngọc Thắng cùng với Nguyễn Như Quỳnh và
6 người khác
.",0,"['bạn', 'tôi', 'uống', 'hết', '55', 'lon', 'bia']"
VTC Academy Đà Nẵng,1,"['đăng_ký', 'liền_tay', 'nhận', 'học_bổng', 'giá_trị', 'giành', 'học_bổng', 'chắc_hẳn', 'ước_mơ', 'hàng', 'triệu', 'học_sinh', 'sinh_viên', 'bởi', 'học_bổng', 'một', 'khoản', 'hỗ_trợ', 'học_phí', 'còn', 'phần', 'thường', 'cực_kỳ', 'giá_trị', 'xứng_đáng', 'nỗ_lực', 'ngừng_nghỉ', 'thế', 'bạn', 'nghĩ', 'bạn', 'thành_tích', 'học_tập', 'nổi_trội', 'mới', 'nhận', 'học_bổng', 'vtc', 'academy', 'ai', 'có_thể', 'trở_thành', 'chủ_nhân', 'suất', 'học_bổng', 'danh_giá', 'còn', '5', 'suất', 'học_bổng', 'đợt', 'cuối', 'dành', 'bạn', 'đam_mê', 'khối', 'ngành', 'marketing', 'thiết_kế', 'công_nghệ', 'thông_tin', 'tổng', 'giải_thưởng', 'đến', '800', 'triệu', 'đồng', 'hãy', 'đăng_ký', 'thông_tin', 'bên', 'nhận', 'điều_kiện', 'đăng_ký', 'thủ_tục', 'hồ_sơ', 'đăng_ký', 'thời_gian', 'đăng_ký', 'hạn', 'nộp', 'hồ_sơ', 'học_bổng', 'ngày_một', 'gần', 'kề', 'còn', 'chờ', 'hãy', 'nhanh', 'tay', 'đăng_ký', 'đừng', 'quên', 'tag', 'chiến', 'thần', 'săn', 'học_bổng', 'bạn', 'thôi', 'nào']"
NodeJS-Golang-Jobs,0,"['hà_nội', 'smartosc', 'job', 'mlem', 'mlem', 'lắm', '01', 'ruby', 'rails', 'tiếng', 'anh', 'tốt', '01', 'nodejs', '03', 'java', 'đào_tạo', 'làm', 'aem', '01', 'devops', 'tiếng', 'anh', 'tốt', 'thời_gian', 'làm_việc', 'linh_hoạt', 'địa_điểm', 'làm_việc', 'tòa', 'handico', 'phạm', 'hùng', 'cv', 'gửi', 'tới', 'mail', 'thuongnhsmartosccom', 'support', 'nhé', 'ạ', 'hoặc', 'liên_hệ', 'zalophone', '0383660769', 'many', 'thanks', 'job', 'hoaithuonghr', 'hiring', 'smartosc', 'rubyonrails', 'ror', 'nodejs', 'java', 'devops']"
Tự học TOEIC mỗi ngày,0,"['làm', '1', 'câu', 'toeic', 'đi', 'ngủ', 'nè', 'câu', 'từ_vựng', 'làm', 'chết', 'luôn', 'benzenenglish']"
"ONE Esports 
  · Theo dõi",0,"['bóc', 'xúc_xích', 'biết', 'biết', 'credit', 'mixi', 'gaming', 'oneesports']"
Node.js Việt Nam,0,"['anh_em', 'mình', 'hỏi', 'mình', 'sử_dụng', 'pupeteer', 'upload', 'imgur', 'mình', 'upload', 'single', 'image', 'hình_ảnh', 'đầu_tiên', 'thành_công', 'mình', 'upload', 'click', 'upload', 'thêm', 'nó', 'ko', 'show', 'popup', 'dialogs', 'chọn', 'file', 'anh_em', 'bên', 'hình', 'code', 'upload', 'file', 'mình', 'hiểu', 'sao', 'nó', 'treo', 'khung', 'chọn', 'file', 'mình', 'sửng', 'methoddismiss', 'nó', 'ko', 'tác_dụng', 'xem', 'request', 'thấy', 'browser', 'nhận', 'request', 'dialogs', 'nó', 'ko', 'nhãy', 'anh_em', 'nó', 'gặp', 'trường_hợp', 'mình', 'xin', 'cao_kiến']"
FUNiX - Học lập trình trực tuyến,1,"['trở_thành', 'kỹ_sư', 'lập_trình', 'nhúng', '10', 'tháng', 'tại_sao', 'học', 'hôm_nay', 'thay_đổi', 'tương_lai', 'cam_kết', 'làm', 'đầu_ra', 'doanh_nghiệp', 'công_nghệ', 'hàng_đầu', 'mức', 'lương', 'hấp_dẫn', 'khóa', 'học', 'lập_trình', 'nhúng', 'dành', 'đối_tượng', 'nào', 'ai', 'có_thể', 'học', 'iot', 'biết', 'cách', 'sử_dụng', 'máy_tính', 'cơ_bản', 'yêu_cầu', 'về', 'độ', 'tuổi', 'đặc_biệt', 'phù_hợp', 'bạn', 'học', 'ngành', 'kỹ_thuật', 'yêu', 'thích', 'công_nghệ', 'điện', 'điện_tử', 'lập_trình', 'khoa_học', 'máy_tính', 'công_nghệ', 'cơ_điện_tử', 'năm', '2', 'hoặc', 'năm', '3', 'trở', 'học', 'trực_tuyến', '100', 'dẫn_dắt', '11', 'bởi', 'cộng_đồng', '5000', 'mentor', 'cntt', 'tìm_hiểu', 'khóa', 'học', 'trở_thành', 'lập_trình_viên', 'chuyên_nghiệp']"
J2TEAM Community,0,"['hướng_dẫn', 'dùng', 'chatgpt', 'trong', 'google', 'sheet', 'j2team_tutorial', 'j2team']"
H2O Radio,0,"['tối', 'sao', 'ngủ', 'trời', 'lethien15']"
"Le Tuan đang cảm thấy tuyệt vời cùng Hồ Cảm và
9 người khác
.",0,"['combo', 'cưới', 'hot', 'tặng', 'xe', 'dâu', 'combo1', '6xe', 'accent', 'nơ', 'đỏ', '1xe', 'hoa', 'camry', '2022', 'trắng', 'combo2', '6xe', 'accent', 'nơ', 'đỏ', '1xe', 'hoa', 'civic', 'đỏtrắng', 'combo3', '6xe', 'accent', 'nơ', 'đỏ', '1xe', 'hoa', 'vin', 'xem', 'thêm']"
Yola ,1,"['ielts', 'ở', 'đ', 'u_sự_nghiệp', 'ở', 'kiểm_tra', 'miễn_phí', '1', 'click', '10', 'phút', 'test', 'chinh_phục', 'nhà', 'tuyển_dụng', 'hay', 'sếp', 'ielts', 'cao', 'chính', 'bằng_chứng_thực_tế', 'hiệu_quả', 'nhất', 'nỗ_lực', 'bạn', 'bắt_đầu', 'nhẹ_nhàng', 'bài', 'điểm', 'tra', 'đơn_giản', 'biết', 'trình_độ', 'yola', 'tin_vui', 'yola', 'tặng', '01', 'ipad', 'đăng_ký', 'khóa', 'luyện', 'thi', 'ielts', 'trình', 'anh', 'ngữ', 'rinh', 'quà', 'xịn', 'sang', 'yola', 'mienphikiemtratrinhdo', 'uudaithang09']"
Hoạt Hình Panda Fanpage - Hhpanda,0,"['lịch', 'chiếu', 'thứ', '4', 'ngày', '209', '3d', 'già', 'thiên', 'tập', '23', 'tây', 'hành', 'kỷ', 'phần', '5', 'tập', '11', 'ám', 'hà', 'truyện', 'tập', '9', 'bán', 'thần', 'chi', 'cảnh', 'tập', '16', 'tuyệt', 'thế', 'võ', 'hồn', 'tập', '307', 'hồng_hoang', 'linh', 'tôn', 'tập', '7', 'dãy', 'số', 'đầu_tiên', 'tập', '11', 'trang', 'truyền_thuyết', 'tập', '13', 'chân', 'võ', 'đỉnh', 'phong', 'tập', '73', '2d', 'tuyệt', 'thế_chiến', 'hồn', 'tập', '216', 'lịch', 'vietsub', '1011h', 'sáng', 'ngày', 'lịch', 'chiếu', 'ngày', 'ghim', 'ở', 'đầu', 'fanpage', 'bạn', 'theo_dõi', 'trang', 'cập_nhật', 'phim', 'sớm', 'nhất', 'nhé', 'hhpandacc']"
Bùi Ngọc Nhung,0,"['𝑶', 'đ𝒂𝒚', '𝒌𝒉𝒐𝒏𝒈', '𝒄𝒐', '𝒕𝒓𝒂', 'đ𝒂𝒐', '𝑶', 'đ𝒂𝒚', '𝒄𝒉𝒊', '𝒄𝒐', '𝒍𝒐𝒊', '𝒗𝒂𝒐', '𝒕𝒊𝒎', 'em']"
Bơ hấp đường phèn.,0,"['bảo', 'hoa_tay', 'còn', 'bắt', 'người_ta', 'đi', 'tô', 'tượng', 'bohapduongphen']"
PIRI System,1,"['bạn', 'biết', 'làm', 'thế_nào', 'đầu_tư', 'hiệu_quả', 'kinh_nghiệm', 'đầu_tư', 'lo_ngại', 'thua_lỗ', 'chương_trình', 'trực_tuyến', '3', 'ngày', 'cung_cấp', 'bạn', 'kiến_thức', 'kết_quả', 'kinh_tế', 'vĩ_mô', 'bài_học', 'vô_cùng', 'cần_thiết', 'bất_kì', 'ai', 'muốn', 'bước', 'đầu_tư', 'chiến_lược', 'đón', 'sóng', 'dự_đoán', 'kinh_tế', '20232025', 'chiến_lược', 'đón', 'sóng', 'tăng', 'tài_sản', 'bạn', 'thị_trường', 'vàng', 'bí_mật', '5', 'kẻ', 'chiến_thắng', 'thị_trường', 'vàng', 'đừng', 'bỏ', 'lỡ', 'cơ_hội', 'đón', 'sóng', 'kinh_tế', '20232025', 'gia_tăng', 'tài_sản', 'bạn', 'đăng_ký', 'bơ', 'hấp', 'đường', 'phèn0bảo', 'hoa_tay', 'còn', 'bắt', 'người_ta', 'đi', 'tô', 'tượng']"
PIRI System,1,"['bạn', 'biết', 'làm', 'thế_nào', 'đầu_tư', 'hiệu_quả', 'kinh_nghiệm', 'đầu_tư', 'lo_ngại', 'thua_lỗ', 'chương_trình', 'trực_tuyến', '3', 'ngày', 'cung_cấp', 'bạn', 'kiến_thức', 'kết_quả', 'kinh_tế', 'vĩ_mô', 'bài_học', 'vô_cùng', 'cần_thiết', 'bất_kì', 'ai', 'muốn', 'bước', 'đầu_tư', 'chiến_lược', 'đón', 'sóng', 'dự_đoán', 'kinh_tế', '20232025', 'chiến_lược', 'đón', 'sóng', 'tăng', 'tài_sản', 'bạn', 'thị_trường', 'vàng', 'bí_mật', '5', 'kẻ', 'chiến_thắng', 'thị_trường', 'vàng', 'đừng', 'bỏ', 'lỡ', 'cơ_hội', 'đón', 'sóng', 'kinh_tế', '20232025', 'gia_tăng', 'tài_sản', 'bạn', 'đăng_ký']"
Node.js Việt Nam,0,"['em', 'chào', 'anh_chị_em', 'nghiên_cứu', 'về', 'elasticsearch', 'mongodb', 'em', 'dùng', 'aggregate', 'mongoose', 'biết', 'anh_chị', 'nào', 'biết', 'cách', 'convert', 'aggregate', 'mongoose', 'sang', 'elasticsearch', 'query', 'ạnếu', 'có_thể', 'em', 'xin', 'vài', 'lời', 'khuyên', 'trong', 'bài_toán', 'em', 'cảm_ơn', 'ạ']"
Dev ơi mình đi đâu thế?,0,"['mình', 'làm', 'bài', 'tìm', 'đếm', 'số_lượng', 'số_nguyên_tố', '1', 'đến', 'n', 'nhập', 'n1000', 'chương_trình', 'kết_quả', 'chạy', 'mãi', 'thoát', 'luôn', 'ai', 'giúp', 'mình', 'giải_đáp', 'tại_sao', 'ạ']"
"Lập Trình C,C++,C#,Java, Python,PHP...",0,"['tuy', 'liên_quan', 'lắm', 'mn', 'ai', 'cứu', 'em', '1', 'chén', 'đc', 'ko', 'ạ', 'em', 'làm', 'window', 'form', 'visual', 'studio', '2022', 'xong', 'e', 'thoát', 'khởi_động', 'phần_mềm', 'diệt', 'virus', 'bkav', 'bro', 'ko', 'mở', 'đc', 'nhấn', 'khởi_động', 'nó', 'xoay', 'bth', 'thấy', 'nó', 'xoay', 'lâu', 'còn', 'hơn', 'thời_gian', 'ngồi', 'gồng', 'hết', '5', 'tiết', 'ngữ_văn', 'nx', 'em', 'thấy', 'màu', 'r', 'ts', 'h', 'ko', 'bấm', 'đc', 'j', 'hết', 'mn', 'ai', 'bt', 'cách', 'giúp', 'em', 'vs', 'em', 'đội', 'ơn', 'mong', 'ad', 'duyệt', 'dùm', 'e', 'cảm_thấy', 'buồn']"
Vietnam Indie Music,0,"['người', 'miền', 'núi', 'chất', 'bước', 'mùa', 'à', 'lôi', 'vũ', 'xệ', 'xệ']"
Outfit Theo Trend,0,"['tôi', 'tôi', 'thích', 'ngây_thơ', 'hải', 'tú', 'vô', 'fb', 'xem', 'bộ', 'ảnh', 'ngây_thơ', 'thiều', 'bảo', 'trâm', 'hải', 'tú']"
Tiny Radio đã đăng một video vào danh sách phát Review anime.,0,"['chàng', 'băng_giá', 'nàng', 'lạnh_lùng', 'anime', 'reviewanime', 'tcmedia']"
Đào tạo ngắn hạn AI - Data Science,1,"['mức', 'đãi_ngộ', 'hấp_dẫn', 'nghề', 'quant', 'trading', 'bao_giờ', 'bạn', 'tự', 'hỏi', 'một', 'quant', 'trader', 'kiếm', 'bao_nhiêu', 'ở', 'hoa', 'kỳ', 'một', 'quant', 'trader', 'trung_bình', 'thu', 'về', '316764', 'hàng', 'năm', 'đặc_biệt', 'họ', 'nhận', 'thưởng', 'khoảng', '125000', 'chiếm', 'đến', '39', 'tổng_thu_nhập', 'họ', 'phố', 'wall', 'siêu', 'máy_tính', 'giờ_đây', 'chủ_lực', 'đằng', 'mức', 'lợi_nhuận', 'trung_bình', '2035', 'năm', 'quỹ', 'tài_năng', 'quant', 'trader', 'họ', 'hưởng', 'ưu_đãi', 'tốt', 'nhất', 'còn', 'tâm_điểm', 'chú_ý', 'thị_trường', 'việt', 'nam', 'quant', 'trading', 'mở', 'cánh', 'cửa', 'mới', 'đối_với', 'nhà', 'đầu_tư', 'việt', 'quant', 'trading', 'còn', 'mảnh', 'đất', 'mới_mẻ', 'thị_trường', 'tới', 'hiện_diện', 'chuyên_gia', 'quant', 'họ', 'mục_tiêu', 'săn_đón', 'quỹ', 'đầu_tư', 'công_ty', 'tài_chính', 'lớn', 'phát_triển', 'ngừng', 'thị_trường', 'tài_chính', 'kết_hợp', 'giữa', 'kỹ_thuật', 'truyền_thống', 'sức_mạnh', 'số_liệu', 'mô_hình', 'tự_động_hoá', 'quant', 'không_thể', 'thiếu', 'trong', 'bối_cảnh', 'ai', 'theo_đuổi', 'chuyên_sâu', 'về', 'quant', 'trading', 'trở_thành', 'ngôi_sao', 'sáng_giá', 'lĩnh_vực', 'tài_chính', 'tìm_hiểu', 'kỹ_năng', 'phân_tích', 'dữ_liệu', 'realtime', 'sử_dụng', 'python', 'số', '0', 'đầu_tư', 'chứng_khoán', 'coin', 'forex', 'một_cách', 'tự_động', 'quản_lý', 'rủi_ro', 'gia_tăng', 'lợi_nhuận', 'bằng', 'phương_pháp', 'phân', 'quantitative', 'analysis', 'chi_tiết']"
Sinh Viên Đà Nẵng Confessions,0,"['áp_dụng', 'công_thức', 'sao', 'nó', 'lạ', 'ghê']"
"Steven Pham cùng với Nguyễn Thị An Thư và
3 người khác
tại Con đường đi đến FPM.",0,"['tiếp_tục', 'buổi', '02', 'tinh_thần', 'khởi_nghiệp', 'lựa_chọn', 'lĩnh_vực', 'khởi_nghiệp', 'khởi_nghiệp', 'sạt_nghiệp', 'luôn']"
Thiếu Niên Nói đã đăng một video vào danh sách phát Một chút đáng yêu.,0,"['em', 'đến', 'đâyyyy', 'viva', 'vivanetwork']"
VieTalents đã đăng một video vào danh sách phát Chế Tạo Máy Móc.,0,"['xuất_hiện', 'máy_móc', 'hiện_đại', 'giúp', 'mọi', 'công_việc', 'trở_nên', 'dễ_dàng', 'hơn', 'content', 'exploitation', 'copyright', 'belongs', 'vienetwork', 'vienetwork', 'qa']"
"Lập Trình C,C++,C#,Java, Python,PHP...",0,"['em', 'hỏi', 'tại_sao', 'em', 'sử_dụng', 'void', 'không_thể', 'chạy', 'trong', 'thay', 'bằng', 'int', 'chạy', 'bình_thường', 'ạ', 'em', 'cảm_ơn']"
360 - Tiện ích,0,"['lý_do', 'con', 'gái', 'tui', 'nó', 'muốn', 'egai', '2', 'đứa', 'sau_này', 'mở', 'tiệm', 'nail', 'kết']"
Thổ dân Cute,0,"['coi', 'tức', 'ghê', 'hong', 'miếng', 'bimbim', 'nào']"
Khánh Vy ,0,"['cách', 'mình', 'gia', 'tặng', 'thấu_hiểu', 'bản_thân', 'tự', 'mình', 'thẳng_thắn', 'trả_lời', 'câu', 'hỏi', 'mình', 'nỗi', 'sợ', 'mình', 'chật_vật', 'khó_khăn', 'ở', 'khía_cạnh', 'nào', 'mình', 'thường', 'mắc', 'lỗi', 'sai', 'trường_hợp', 'môi_trường', 'nào', 'thường', 'khiến', 'mình', 'tự_ti', 'lý_do', 'mình', 'làm', 'tự', 'khiến', 'bản_thân', 'thất_vọng', 'mình', 'nâng', 'cao', 'lật_ngược_lại', 'vấn_đề', 'trả_lời', 'câu', 'hỏi', 'mình', 'khả_năng', 'mình', 'thực_sự_thể_hiện', 'năng_lực', 'ở', 'khía_cạnh', 'nào', 'mang', 'mình', 'mãn_nguyện', 'đam_mê', 'nhất', 'ba', 'lời', 'khen', 'về', 'bản_thân', 'mình', 'nghe', 'mình', 'giúp_đỡ', 'người', 'khác', 'bằng', 'cách', 'thấu_hiểu', 'về', 'chính', 'mình', 'tự_nhủ', 'mình', 'chấp_nhận', 'tốt', 'xấu', 'dở', 'mình', 'chấp_nhận', 'tất_cả', 'phần_nào', 'thuộc', 'về', 'mình', 'nỗi', 'sợ', 'hành_vi', 'lỗi', 'sai', 'mình', 'mấy', 'tự_hào', 'mình', 'chấp_nhận', 'cảm_thấy', 'yên', 'về']"
Cafe Đường Phố,0,"['đại_đức', 'thích', 'hồng', 'nghĩa', 'trụ_trì', 'chùa', 'diêm', 'phụng', 'huế', 'lái', 'crv', 'mời', 'xuống', 'thử', 'nồng_độ', 'cồn', 'thấy', 'người', 'biểu_hiện', 'lạ', 'kết_quả', 'cồn', 'trong', 'hơi', 'thở', 'trót', 'phạm', 'thứ', '5', 'trong', 'ngũ_giới', 'còn', 'kể', 'lực_lượng', 'chức_năng', 'vất_vả', 'người', 'mới', 'chịu', 'thổi']"
Quang Tường,0,"['nhờ', 'mn', 'share', 'giúp', 'e', 'tìm', 'ví', 'đoạn', 'đường', 'cậu', 'vĩ', 'dạ', 'đi', 'ngã', 'phạm', 'văn', 'đồng', 'đi', 'ngã', 'chợ', 'đầu_mối', 'đến', 'cậu', 'bạch_yến', 'tôi', 'đánh_rơi', 'ví', 'màu', 'đen', 'bên', 'trong', 'ví', 'ít', 'tiền_mặt', 'cccd', '1', 'số', 'giấy_tờ', 'quan_trọng', 'mang', 'tên', 'bùi', 'văn', 'rốt', 'mong', 'ai', 'nhặt', 'tôi', 'xin', 'cảm_ơn', 'hậu_tạ', 'liên_hệ', 'sdt', '0862205448', 'mn', 'chia', 'giúp', 'e', 'ạ', 'mong', 'tìm', 'giấy_tờ', 'thôi', 'ạ']"
